demand_act,pred,oracle,diff,ifpos
98.25,112.518051147,111.46,14.2680511475,1
117.76,113.591789246,113.75,-4.16821075439,0
33.12,31.0742530823,30.23,-2.04574691772,0
144.94,135.528747559,137.01,-9.41125244141,0
20.1,19.680513382,17.77,-0.419486618042,0
22.27,24.3426399231,24.04,2.0726399231,1
21.14,21.9723205566,21.56,0.832320556641,1
102.63,117.172065735,115.14,14.5420657349,1
99.41,89.2351989746,91.79,-10.1748010254,0
73.88,70.9005813599,66.4,-2.97941864014,0
79.93,89.7212982178,90.76,9.79129821777,1
122.91,116.530509949,112.76,-6.37949005127,0
26.63,25.1384372711,25.23,-1.49156272888,0
84.91,83.1618804932,76.9,-1.74811950684,0
25.36,28.301109314,28.33,2.94110931396,1
24.1,24.7182388306,24.78,0.618238830566,1
57.81,55.7416992188,54.55,-2.06830078125,0
18.81,20.2664451599,20.17,1.45644515991,1
21.98,19.5133399963,19.09,-2.46666000366,0
227.48,245.858703613,253.48,18.3787036133,1
17.56,18.4080543518,16.76,0.848054351807,1
27.72,25.2100391388,25.16,-2.50996086121,0
17.73,18.5941829681,17.46,0.86418296814,1
80.16,77.8615951538,73.95,-2.29840484619,0
115.67,111.934066772,112.63,-3.73593322754,0
29.06,28.4390106201,28.38,-0.620989379883,0
52.48,52.8133392334,52.93,0.333339233398,1
123.56,135.290054321,135.06,11.7300543213,1
27.79,32.6450843811,31.9,4.8550843811,1
88.78,98.9018554688,98.9,10.1218554687,1
83.82,88.8565216064,88.98,5.03652160645,1
104.58,103.063148499,104.89,-1.51685150146,0
64.41,68.2696075439,67.04,3.85960754395,1
81.04,88.0789260864,87.78,7.03892608643,1
82.11,82.3513565063,78.65,0.241356506348,1
97.62,106.007637024,104.91,8.38763702393,1
85.71,84.9589538574,81.81,-0.751046142578,0
108.29,94.7718353271,96.23,-13.5181646729,0
84.86,88.0693664551,92.63,3.20936645508,1
58.38,64.3108596802,64.74,5.93085968018,1
178.59,184.39263916,185.84,5.80263916016,1
147.31,154.55696106,155.6,7.24696105957,1
14.85,17.5053634644,15.59,2.65536346436,1
24.06,22.8846664429,23.11,-1.17533355713,0
89.54,103.108680725,101.98,13.5686807251,1
16.87,18.8372077942,17.83,1.96720779419,1
30.03,30.5167064667,29.36,0.486706466675,1
12.01,14.1268491745,12.71,2.1168491745,1
57.57,57.7391014099,57.78,0.169101409912,1
53.06,54.2061538696,52.71,1.14615386963,1
109.35,121.083106995,120.93,11.7331069946,1
150.68,133.532531738,138.06,-17.1474682617,0
20.5,23.1931190491,23.02,2.69311904907,1
18.21,20.000207901,19.91,1.790207901,1
16.92,17.924118042,16.66,1.00411804199,1
21.43,23.3771953583,23.79,1.94719535828,1
19.91,20.0707569122,19.72,0.160756912231,1
124.59,109.404197693,105.95,-15.1858023071,0
24.32,25.1886100769,25.34,0.868610076904,1
76.31,86.551399231,85.31,10.241399231,1
39.47,37.1200141907,36.06,-2.34998580933,0
86.24,84.3122634888,78.72,-1.92773651123,0
80.56,85.5173416138,82.18,4.95734161377,1
127.2,124.84790802,126.47,-2.35209197998,0
20.93,20.1520118713,19.94,-0.777988128662,0
101.1,92.8860931396,93.8,-8.21390686035,0
143.96,154.240036011,150.36,10.2800360107,1
68.42,66.5579452515,66.17,-1.86205474854,0
109.03,98.4928359985,100.73,-10.5371640015,0
19.02,20.2557144165,20.23,1.2357144165,1
50.1,53.2859649658,54.59,3.18596496582,1
119.84,113.576377869,113.84,-6.26362213135,0
55.96,62.3547439575,61.89,6.39474395752,1
23.55,25.3808021545,24.89,1.83080215454,1
56.0,49.5807571411,47.73,-6.41924285889,0
48.25,48.2729034424,45.74,0.0229034423828,1
21.06,19.4060268402,19.02,-1.65397315979,0
88.13,97.1555786133,98.21,9.02557861328,1
81.16,85.834274292,85.89,4.67427429199,1
17.02,18.0812931061,16.21,1.06129310608,1
37.79,37.5936050415,35.95,-0.196394958496,0
94.58,91.1057128906,92.88,-3.47428710937,0
192.64,197.578430176,199.7,4.93843017578,1
170.17,151.42515564,150.51,-18.7448443604,0
211.42,195.779037476,201.61,-15.6409625244,0
17.33,17.9235439301,16.46,0.593543930054,1
90.97,94.9250488281,96.57,3.95504882813,1
23.1,21.8351802826,21.85,-1.26481971741,0
16.52,16.6819190979,14.45,0.1619190979,1
161.45,170.789810181,172.41,9.33981018066,1
28.23,30.1547431946,30.82,1.92474319458,1
42.28,43.0580406189,41.43,0.778040618896,1
87.3,88.9982681274,91.24,1.69826812744,1
34.19,36.8348083496,36.5,2.64480834961,1
19.1,20.5471477509,20.53,1.44714775085,1
106.4,100.471008301,101.52,-5.92899169922,0
25.2,24.6930122375,24.29,-0.506987762451,0
16.41,19.1823215485,18.5,2.77232154846,1
59.83,65.4535827637,64.96,5.62358276367,1
17.62,20.3300895691,19.92,2.71008956909,1
53.26,55.116519928,53.46,1.85651992798,1
20.65,20.7437953949,19.85,0.0937953948975,1
18.35,20.0109386444,20.09,1.66093864441,1
9.49,13.7460632324,10.58,4.25606323242,1
109.41,98.5460205078,98.48,-10.8639794922,0
123.98,144.118286133,138.86,20.1382861328,1
16.81,16.8190593719,14.68,0.00905937194824,1
95.19,110.312240601,109.07,15.1222406006,1
85.68,91.4328918457,90.03,5.7528918457,1
108.93,97.9288101196,99.73,-11.0011898804,0
80.96,86.4709854126,86.06,5.5109854126,1
80.15,71.890083313,69.82,-8.25991668701,0
16.23,18.6749267578,17.67,2.44492675781,1
132.71,139.1328125,139.73,6.4228125,1
58.2,54.0386581421,52.47,-4.16134185791,0
21.79,22.8846664429,22.78,1.09466644287,1
77.6,72.0132522583,69.33,-5.5867477417,0
26.32,25.28008461,25.58,-1.03991539001,0
87.93,86.543258667,79.52,-1.38674133301,0
156.7,161.575332642,161.11,4.8753326416,1
32.57,34.8455848694,34.44,2.27558486938,1
113.61,102.438827515,102.86,-11.1711724854,0
66.95,58.084690094,58.14,-8.86530990601,0
134.09,150.073974609,146.98,15.9839746094,1
26.9,29.5254364014,29.94,2.62543640137,1
23.3,21.8001022339,21.62,-1.49989776611,0
20.79,19.0904788971,18.44,-1.69952110291,0
32.5,29.2165756226,27.99,-3.28342437744,0
110.41,118.809654236,120.84,8.39965423584,1
70.41,78.841796875,75.12,8.431796875,1
18.99,18.5171775818,17.67,-0.472822418213,0
263.64,248.072647095,250.98,-15.5673529053,0
11.06,13.5532503128,12.56,2.49325031281,1
35.4,30.2675476074,30.25,-5.13245239258,0
100.18,103.90965271,102.47,3.72965270996,1
78.98,89.3566513062,88.39,10.3766513062,1
109.46,110.610794067,108.84,1.15079406738,1
69.02,69.4289703369,68.74,0.408970336914,1
41.17,36.9923248291,36.39,-4.1776751709,0
15.65,17.7614059448,16.28,2.11140594482,1
23.95,27.3776073456,27.31,3.42760734558,1
22.54,20.5041370392,20.53,-2.03586296082,0
118.21,129.493835449,130.68,11.2838354492,1
113.33,110.390983582,111.17,-2.93901641846,0
10.14,13.218957901,10.32,3.078957901,1
21.49,24.1688957214,23.57,2.67889572144,1
59.99,65.878326416,66.51,5.88832641602,1
