price_act,pred,oracle,diff,diff2,ifpos
5.31,5.75543928146,5.89,0.445439281464,0.58,1
3.58,4.29202318192,3.78,0.712023181915,0.2,1
2.56,3.09030985832,2.64,0.530309858322,0.08,1
3.41,3.96808171272,2.98,0.558081712723,-0.43,1
4.45,4.81023597717,4.71,0.360235977173,0.26,1
1.94,2.50922250748,1.88,0.569222507477,-0.06,1
2.5,3.20537042618,2.56,0.705370426178,0.06,1
6.13,5.50594949722,5.25,-0.624050502777,-0.88,0
2.9,2.92563247681,2.54,0.0256324768066,-0.36,1
2.17,2.64364814758,2.23,0.473648147583,0.06,1
3.58,4.23964595795,3.62,0.659645957947,0.04,1
3.67,3.94393968582,3.28,0.273939685822,-0.39,1
1.83,2.41600871086,2.01,0.586008710861,0.18,1
3.51,3.98753666878,3.56,0.477536668777,0.05,1
3.3,3.71666264534,3.0,0.41666264534,-0.3,1
2.31,2.81884431839,2.63,0.50884431839,0.32,1
3.5,3.63316369057,2.99,0.133163690567,-0.51,1
0.54,0.964265286922,0.56,0.424265286922,0.02,1
2.32,2.41412162781,2.06,0.0941216278076,-0.26,1
3.58,3.98769855499,3.73,0.407698554993,0.15,1
2.48,2.78031635284,2.26,0.300316352844,-0.22,1
2.27,2.78718185425,2.59,0.517181854248,0.32,1
3.07,3.6981048584,3.51,0.628104858398,0.44,1
3.49,3.93719863892,3.66,0.447198638916,0.17,1
3.01,3.74388837814,3.02,0.733888378143,0.01,1
0.55,0.986406207085,0.6,0.436406207085,0.05,1
4.31,4.1997461319,3.76,-0.110253868103,-0.55,0
3.94,4.21599245071,3.99,0.275992450714,0.05,1
4.06,4.33577203751,3.5,0.275772037506,-0.56,1
3.08,3.27486276627,2.79,0.194862766266,-0.29,1
7.3,7.27008867264,7.13,-0.0299113273621,-0.17,0
2.72,2.99875068665,2.36,0.278750686646,-0.36,1
1.19,1.65003538132,1.22,0.460035381317,0.03,1
2.03,2.51482486725,2.15,0.484824867249,0.12,1
2.15,2.7603957653,2.32,0.610395765305,0.17,1
1.66,2.05230665207,1.54,0.392306652069,-0.12,1
3.55,4.24912500381,3.97,0.699125003815,0.42,1
2.86,3.12948298454,2.67,0.269482984543,-0.19,1
4.18,4.68848085403,4.54,0.508480854034,0.36,1
2.0,2.3077712059,2.15,0.307771205902,0.15,1
3.26,3.76746559143,3.3,0.507465591431,0.04,1
1.7,2.15097427368,1.82,0.450974273682,0.12,1
2.62,2.95691776276,2.77,0.336917762756,0.15,1
0.54,0.895026445389,0.6,0.355026445389,0.06,1
2.15,2.59522175789,2.25,0.445221757889,0.1,1
1.62,1.87657117844,1.39,0.256571178436,-0.23,1
3.77,4.35693073273,4.05,0.586930732727,0.28,1
2.23,2.61657214165,2.48,0.386572141647,0.25,1
3.64,3.94921135902,3.54,0.309211359024,-0.1,1
3.96,4.29632806778,4.21,0.33632806778,0.25,1
3.19,3.44498801231,3.2,0.254988012314,0.01,1
3.23,3.52340388298,3.17,0.29340388298,-0.06,1
1.31,1.7805327177,1.49,0.470532717705,0.18,1
2.36,2.85262203217,2.61,0.492622032166,0.25,1
4.59,4.9925866127,4.57,0.402586612701,-0.02,1
2.51,2.71174025536,2.15,0.201740255356,-0.36,1
2.3,2.64642691612,2.5,0.346426916122,0.2,1
3.12,3.43452239037,3.03,0.314522390366,-0.09,1
4.42,4.6828994751,4.82,0.262899475098,0.4,1
4.37,4.95202159882,4.12,0.582021598816,-0.25,1
2.04,2.3221244812,1.96,0.282124481201,-0.08,1
1.49,1.78483963013,1.33,0.294839630127,-0.16,1
3.25,3.84950065613,3.64,0.599500656128,0.39,1
0.81,1.30034673214,0.83,0.49034673214,0.02,1
0.98,1.33698010445,0.87,0.356980104446,-0.11,1
3.79,4.39968013763,4.22,0.609680137634,0.43,1
2.89,3.2832570076,2.97,0.393257007599,0.08,1
2.29,2.64738941193,2.14,0.357389411926,-0.15,1
3.37,3.95608592033,3.8,0.586085920334,0.43,1
1.52,1.91357672215,1.54,0.393576722145,0.02,1
1.69,2.16584157944,1.67,0.475841579437,-0.02,1
2.88,3.55295443535,3.18,0.672954435349,0.3,1
3.0,3.12506008148,2.66,0.125060081482,-0.34,1
2.26,2.55422925949,1.94,0.294229259491,-0.32,1
2.6,3.0975522995,2.82,0.4975522995,0.22,1
2.67,2.9980173111,2.44,0.328017311096,-0.23,1
1.37,1.90161955357,1.37,0.531619553566,0.0,1
1.17,1.53498053551,1.11,0.364980535507,-0.06,1
2.35,2.52577996254,2.01,0.17577996254,-0.34,1
1.94,2.38163208961,1.81,0.441632089615,-0.13,1
3.13,3.5512046814,3.39,0.421204681396,0.26,1
3.37,3.56159472466,3.38,0.191594724655,0.01,1
3.67,3.71714711189,3.22,0.0471471118927,-0.45,1
5.08,5.49023485184,4.85,0.410234851837,-0.23,1
5.4,5.42523384094,5.53,0.0252338409424,0.13,1
3.64,4.02392148972,3.26,0.383921489716,-0.38,1
6.33,5.94155836105,5.6,-0.388441638947,-0.73,0
1.92,2.59139895439,2.15,0.671398954391,0.23,1
2.31,2.70318961143,2.45,0.393189611435,0.14,1
3.81,4.30265903473,4.0,0.492659034729,0.19,1
3.5,3.69184494019,3.06,0.191844940186,-0.44,1
2.6,2.8405110836,2.23,0.240511083603,-0.37,1
3.79,4.12119913101,3.37,0.331199131012,-0.42,1
3.84,4.46302700043,3.94,0.623027000427,0.1,1
